股票代码,股票名称,所属板块,概念列表,热点标签
600375,汉马科技,商用车,,商用车
600376,首开股份,房地产,,房地产
600377,宁沪高速,未知,,未归类
600378,昊华科技,氟化工,,化工
600379,宝光股份,输变电设备,,输变电设备
600380,健康元,化学制剂,,化工
600382,广东明珠,钢铁,,钢铁
600383,金地集团,房地产,,房地产
600386,北巴传媒,汽车服务,,传媒；汽车
600388,龙净环保,环保设备Ⅱ,,环保设备Ⅱ
600389,江山股份,农药,,化工
600390,五矿资本,金融控股,,金融控股
600391,航发科技,国防军工,,军工
600392,盛和资源,稀土,,有色金属
600395,盘江股份,煤炭开采,,煤炭开采
600396,华电辽能,公用事业,,公用事业
600397,江钨装备,能源及重型设备,,有色金属
600398,海澜之家,非运动服装,,非运动服装
600399,抚顺特钢,特钢Ⅱ,,特钢Ⅱ
600400,红豆股份,非运动服装,,非运动服装
600403,大有能源,煤炭开采,,煤炭开采
600405,动力源,其他电源设备Ⅱ,,其他电源设备Ⅱ
600406,国电南瑞,电网自动化设备,,机器人；电力
600408,安泰集团,未知,,未归类
600409,三友化工,化学原料,,化工
600410,华胜天成,IT服务Ⅲ,,IT服务Ⅲ
600415,小商品城,商贸零售,,商贸零售
600416,湘电股份,电机Ⅱ,,机器人
600418,江淮汽车,商用车,,汽车
600419,天润乳业,乳品,,乳品
600420,国药现代,化学制剂,,化工
600422,昆药集团,中药Ⅱ,,医药
600425,青松建化,建筑材料,,建筑材料
600426,华鲁恒升,农化制品,,农化制品
600428,中远海特,未知,,未归类
600429,三元股份,乳品,,乳品
600433,冠豪高新,造纸,,造纸
600435,北方导航,国防军工,,军工
600436,片仔癀,中药Ⅱ,,医药
600438,通威股份,光伏主材,,新能源
600439,瑞贝卡,纺织服饰,,纺织服饰
600444,国机通用,未知,,未归类
600446,金证股份,IT服务Ⅲ,,IT服务Ⅲ
600448,华纺股份,纺织制造,,纺织制造
600449,宁夏建材,建筑材料,,建筑材料
600452,涪陵电力,公用事业,,电力
600455,博通股份,软件开发,,软件
600456,宝钛股份,未知,,未归类
600458,时代新材,轨交设备Ⅱ,,轨交设备Ⅱ
600459,贵研铂业,未知,,未归类
600460,士兰微,分立器件,,分立器件
600461,洪城环境,环境治理,,环境治理
600463,空港股份,产业地产,,产业地产
600467,好当家,水产养殖,,水产养殖
600468,百利电气,配电设备,,配电设备
600469,风神股份,汽车,,汽车
600470,六国化工,农化制品,,化工
600475,华光环能,公用事业,,公用事业
600477,杭萧钢构,专业工程,,专业工程
600478,科力远,电池,,锂电池
600479,千金药业,中药Ⅱ,,医药
600480,凌云股份,其他汽车零部件,,汽车
600481,双良节能,光伏设备,,新能源
600482,中国动力,其他电源设备Ⅱ,,其他电源设备Ⅱ
600483,福能股份,公用事业,,公用事业
600486,扬农化工,农药,,化工
600487,亨通光电,通信,,通信
600488,津药药业,化学制药,,化工
600489,中金黄金,黄金,,黄金
600490,鹏欣资源,铜,,有色金属
600493,凤竹纺织,纺织制造,,纺织制造
600495,晋西车轴,轨交设备Ⅱ,,轨交设备Ⅱ
600496,精工钢构,专业工程,,专业工程
600497,驰宏锌锗,铅锌,,有色金属
600498,烽火通信,通信,,通信
600499,科达制造,未知,,未归类
600500,中化国际,其他化学制品,,化工
600501,航天晨光,未知,,军工
600502,安徽建工,建筑装饰,,建筑装饰
600503,华丽家族,房地产,,房地产
600505,西昌电力,公用事业,,电力
600506,统一股份,石油石化,,石油石化
600507,方大特钢,特钢Ⅱ,,特钢Ⅱ
600508,上海能源,煤炭开采,,煤炭开采
600509,天富能源,公用事业,,公用事业
600510,黑牡丹,房地产,,房地产
600511,国药股份,医药流通,,医药
600512,腾达建设,建筑装饰,,建筑装饰
600513,联环药业,化学制剂,,化工
600515,海南机场,航空机场,,军工
600516,方大炭素,钢铁,,钢铁
600517,国网英大,非银金融,,非银金融
600518,康美药业,中药Ⅱ,,医药
600519,贵州茅台,白酒Ⅲ,,白酒Ⅲ
600520,三佳科技,未知,,未归类
600521,华海药业,化学制剂,,化工
600522,中天科技,通信,,通信
600523,贵航股份,其他汽车零部件,,汽车
600526,菲达环保,环保设备Ⅱ,,环保设备Ⅱ
600527,江南高纤,其他纺织,,其他纺织
600528,中铁工业,建筑装饰,,建筑装饰
600529,山东药玻,医疗器械,,医药
600530,交大昂立,食品饮料,,食品饮料
600531,豫光金铅,铅锌,,有色金属
600533,栖霞建设,房地产,,房地产
600535,天士力,中药Ⅱ,,医药
600536,中国软件,IT服务Ⅲ,,软件
600538,国发股份,体外诊断,,体外诊断
600539,狮头股份,电商服务,,电商服务
600540,新赛股份,农林牧渔,,农林牧渔
600545,卓郎智能,纺织服装设备,,纺织服装设备
600546,山煤国际,煤炭开采,,煤炭开采
600547,山东黄金,黄金,,黄金
600548,深高速,未知,,未归类
600549,厦门钨业,钨,,有色金属
600550,保变电气,输变电设备,,输变电设备
600551,时代出版,大众出版,,传媒
600552,凯盛科技,面板,,面板
600556,天下秀,营销代理,,营销代理
600557,康缘药业,中药Ⅱ,,医药
600558,大西洋,通用设备,,通用设备
600559,老白干酒,白酒Ⅲ,,白酒Ⅲ
600560,金自天正,能源及重型设备,,能源及重型设备
600561,江西长运,未知,,未归类
600562,国睿科技,国防军工,,军工
600563,法拉电子,被动元件,,被动元件
600566,济川药业,中药Ⅱ,,医药
600567,山鹰国际,大宗用纸,,大宗用纸
600569,安阳钢铁,钢铁,,钢铁
600570,恒生电子,软件开发,,软件
600571,信雅达,IT服务Ⅲ,,IT服务Ⅲ
600572,康恩贝,中药Ⅱ,,医药
600573,惠泉啤酒,食品饮料,,食品饮料
600575,淮河能源,公用事业,,公用事业
600576,祥源文旅,旅游及景区,,旅游及景区
600577,精达股份,电网设备,,电力
600578,京能电力,公用事业,,电力
600579,中化装备,未知,,未归类
600580,卧龙电驱,电机Ⅱ,,机器人
600582,天地科技,能源及重型设备,,能源及重型设备
600583,海油工程,油气及炼化工程,,化工
600584,长电科技,半导体,,半导体
600585,海螺水泥,建筑材料,,建筑材料
600586,金晶科技,建筑材料,,建筑材料
600587,新华医疗,医疗器械,,医药
600588,用友网络,横向通用软件,,软件
600589,大位科技,IT服务Ⅲ,,IT服务Ⅲ
600590,泰豪科技,国防军工,,军工
600592,龙溪股份,通用设备,,通用设备
600593,大连圣亚,旅游及景区,,旅游及景区
600594,益佰制药,中药Ⅱ,,医药
600595,中孚实业,铝,,有色金属
600596,新安股份,农药,,化工
600597,光明乳业,乳品,,乳品
600598,北大荒,农林牧渔,,农林牧渔
600600,青岛啤酒,食品饮料,,食品饮料
600601,方正科技,印制电路板,,印制电路板
600602,云赛智联,软件开发,,软件
600603,广汇物流,物流,,物流
600604,市北高新,产业地产,,产业地产
600605,汇通能源,商贸零售,,商贸零售
600606,绿地控股,房地产,,房地产
600609,金杯汽车,车身附件及饰件,,汽车
600610,中毅达,其他化学原料,,化工
600611,大众交通,未知,,未归类
600612,老凤祥,钟表珠宝,,钟表珠宝
600613,神奇制药,化学制剂,,化工
600615,鑫源智造,铝,,有色金属
600616,金枫酒业,食品饮料,,食品饮料
600617,国新能源,燃气Ⅲ,,新能源
600618,氯碱化工,化学原料,,化工
600619,海立股份,未知,,未归类
600620,天宸股份,综合,,综合
600621,华鑫股份,非银金融,,非银金融
600622,光大嘉宝,房地产,,房地产
600623,华谊集团,煤化工,,化工
600626,申达股份,车身附件及饰件,,车身附件及饰件
600628,新世界,商贸零售,,商贸零售
600629,华建集团,建筑装饰,,建筑装饰
600630,龙头股份,非运动服装,,非运动服装
600633,浙数文化,游戏Ⅱ,,传媒
600635,大众公用,燃气Ⅲ,,燃气Ⅲ
600637,东方明珠,电视广播Ⅲ,,电视广播Ⅲ
600638,新黄浦,房地产,,房地产
600639,浦东金桥,产业地产,,产业地产
600640,国脉文化,营销代理,,营销代理
600641,先导基电,半导体,,半导体
600642,申能股份,公用事业,,公用事业
600643,爱建集团,金融控股,,金融控股
600644,乐山电力,公用事业,,电力
600645,中源协和,未知,,未归类
600648,外高桥,产业地产,,产业地产
600649,城投控股,房地产,,房地产
600650,锦江在线,未知,,未归类
600651,飞乐音响,汽车电子电气系统,,汽车
600653,申华控股,汽车服务,,汽车
600654,中安科,软件开发,,软件
600655,豫园股份,商贸零售,,商贸零售
600657,信达地产,房地产,,房地产
600658,电子城,产业地产,,产业地产
600660,福耀玻璃,车身附件及饰件,,车身附件及饰件
600661,昂立教育,教育,,教育
600662,外服控股,人力资源服务,,人力资源服务
600663,陆家嘴,房地产,,房地产
600664,哈药股份,化学制剂,,化工
600665,天地源,房地产,,房地产
600666,奥瑞德,面板,,面板
600667,太极实业,建筑装饰,,建筑装饰
600668,尖峰集团,建筑材料,,建筑材料
600671,天目药业,中药Ⅱ,,医药
600673,东阳光,综合,,综合
600674,川投能源,公用事业,,公用事业
600675,中华企业,房地产,,房地产
600676,交运股份,汽车综合服务,,汽车
600679,上海凤凰,汽车,,汽车
600681,百川能源,燃气Ⅲ,,燃气Ⅲ
600682,南京新百,综合,,综合
600683,京投发展,房地产,,房地产
600684,珠江股份,房地产综合服务,,房地产综合服务
600685,中船防务,航海装备Ⅲ,,航海装备Ⅲ
600686,金龙汽车,商用车,,汽车
600688,上海石化,石油石化,,石油石化
600689,上海三毛,综合,,综合
600690,海尔智家,白色家电,,白色家电
600691,潞化科技,农化制品,,农化制品
600692,亚通股份,房地产,,房地产
600693,东百集团,商贸零售,,商贸零售
600694,大商股份,多业态零售,,多业态零售
600697,欧亚集团,多业态零售,,多业态零售
600698,湖南天雁,汽车,,汽车
600699,均胜电子,汽车电子电气系统,,汽车
600702,舍得酒业,白酒Ⅲ,,白酒Ⅲ
600703,三安光电,LED,,LED
600704,物产中大,物流,,物流
600706,曲江文旅,旅游及景区,,旅游及景区
600707,彩虹股份,面板,,面板
600708,光明地产,房地产,,房地产
600710,苏美达,商贸零售,,商贸零售
600711,盛屯矿业,铜,,有色金属
600712,南宁百货,商贸零售,,商贸零售
600713,南京医药,医药流通,,医药
600714,金瑞矿业,无机盐,,无机盐
600715,文投控股,游戏Ⅱ,,传媒
600716,凤凰股份,房地产,,房地产
600717,天津港,港口,,港口
600718,东软集团,IT服务Ⅲ,,IT服务Ⅲ
600719,大连热电,公用事业,,公用事业
600720,中交设计,建筑装饰,,建筑装饰
600721,百花医药,医疗服务,,医药
600722,金牛化工,煤化工,,化工
600724,宁波富达,房地产服务,,房地产服务
600725,云维股份,商贸零售,,商贸零售
600726,华电能源,公用事业,,公用事业
600727,鲁北化工,化学原料,,化工
600728,佳都科技,IT服务Ⅲ,,IT服务Ⅲ
600729,重百集团,多业态零售,,多业态零售
600731,湖南海利,农药,,化工
600732,爱旭股份,光伏电池组件,,锂电池；新能源
600733,北汽蓝谷,乘用车,,乘用车
600736,苏州高新,房地产,,房地产
600737,中粮糖业,农林牧渔,,农林牧渔
600738,丽尚国潮,商贸零售,,商贸零售
600739,辽宁成大,疫苗,,医药
600740,山西焦化,未知,,未归类
600741,华域汽车,车身附件及饰件,,汽车
600742,富维股份,车身附件及饰件,,车身附件及饰件
600743,华远控股,商贸零售,,商贸零售
600744,华银电力,公用事业,,电力
600746,江苏索普,煤化工,,化工
600748,上实发展,房地产,,房地产
600749,西藏旅游,旅游及景区,,旅游及景区
600750,华润江中,中药Ⅱ,,医药
600751,海航科技,未知,,未归类
600754,锦江酒店,未知,,未归类
600755,厦门国贸,物流,,物流
600756,浪潮软件,IT服务Ⅲ,,软件
600757,长江传媒,传媒,,传媒
600758,辽宁能源,煤炭开采,,煤炭开采
600760,中航沈飞,国防军工,,军工
600761,安徽合力,工程机械整机,,工程机械整机
600763,通策医疗,医院,,医药
600764,中国海防,航海装备Ⅲ,,航海装备Ⅲ
600765,中航重机,国防军工,,军工
600768,宁波富邦,铝,,有色金属
600769,祥龙电业,环境治理,,环境治理
600770,综艺股份,综合,,综合
600771,广誉远,中药Ⅱ,,医药
600773,西藏城投,房地产,,房地产
600774,汉商集团,化学制剂,,化工
600775,南京熊猫,通信,,通信
600776,东方通信,通信,,通信
600778,友好集团,多业态零售,,多业态零售
600779,水井坊,白酒Ⅲ,,白酒Ⅲ
600780,通宝能源,公用事业,,公用事业
600782,新钢股份,钢铁,,钢铁
600783,鲁信创投,磨具磨料,,软件
600784,鲁银投资,无机盐,,无机盐
600785,新华百货,多业态零售,,多业态零售
600787,中储股份,仓储物流,,仓储物流
600789,鲁抗医药,化学制剂,,化工；医药
600790,轻纺城,商贸零售,,商贸零售
600791,京能置业,房地产,,房地产
600792,云煤能源,未知,,未归类
600793,宜宾纸业,造纸,,造纸
600794,保税科技,仓储物流,,仓储物流
600795,国电电力,公用事业,,电力
600796,钱江生化,环境治理,,环境治理
600797,浙大网新,IT服务Ⅲ,,IT服务Ⅲ
600798,宁波海运,未知,,未归类
600800,渤海化学,石油石化,,化工
600801,华新建材,建筑材料,,建筑材料
600802,福建水泥,建筑材料,,建筑材料
600803,新奥股份,燃气Ⅲ,,燃气Ⅲ
600805,悦达投资,综合,,综合
600807,济高发展,体外诊断,,体外诊断
600808,马钢股份,钢铁,,钢铁
600809,山西汾酒,白酒Ⅲ,,白酒Ⅲ
600810,神马股份,锦纶,,锦纶
600812,华北制药,化学制剂,,化工
600814,杭州解百,商贸零售,,商贸零售
600815,厦工股份,工程机械整机,,工程机械整机
600816,建元信托,非银金融,,非银金融
600817,宇通重工,环保设备Ⅱ,,环保设备Ⅱ
600819,耀皮玻璃,建筑材料,,建筑材料
600820,隧道股份,建筑装饰,,建筑装饰
600821,金开新能,公用事业,,公用事业
600822,上海物贸,汽车服务,,汽车
600824,益民集团,多业态零售,,多业态零售
600825,新华传媒,大众出版,,传媒
600826,兰生股份,会展服务,,会展服务
600827,百联股份,多业态零售,,多业态零售
600828,茂业商业,商贸零售,,商贸零售
600829,人民同泰,医药流通,,医药
600830,香溢融通,金融控股,,金融控股
600831,广电网络,电视广播Ⅲ,,电力
600833,第一医药,线下药店,,医药
600834,申通地铁,未知,,未归类
600835,上海机电,楼宇设备,,楼宇设备
600838,上海九百,多业态零售,,多业态零售
600839,四川长虹,彩电,,彩电
600841,动力新科,汽车,,汽车
600843,上工申贝,纺织服装设备,,纺织服装设备
600844,金煤科技,煤化工,,化工
600845,宝信软件,IT服务Ⅲ,,软件
600846,同济科技,建筑装饰,,建筑装饰
600847,万里股份,蓄电池及其他电池,,锂电池
600848,上海临港,产业地产,,产业地产
600850,电科数字,IT服务Ⅲ,,IT服务Ⅲ
600851,海欣股份,化学制剂,,化工
600853,龙建股份,建筑装饰,,建筑装饰
600854,春兰股份,房地产,,房地产
600855,航天长峰,国防军工,,军工
600857,宁波中百,商贸零售,,商贸零售
600858,银座股份,多业态零售,,多业态零售
600859,王府井,商贸零售,,商贸零售
600860,京城股份,通用设备,,通用设备
600861,北京人力,人力资源服务,,人力资源服务
600862,中航高科,国防军工,,军工
600863,华能蒙电,公用事业,,公用事业
600864,哈投股份,非银金融,,非银金融
600865,百大集团,商贸零售,,商贸零售
600866,星湖科技,化学制品,,化工
600867,通化东宝,未知,,未归类
600868,梅雁吉祥,公用事业,,公用事业
600869,远东股份,电网设备,,电力
600871,石化油服,石油石化,,石油石化
600872,中炬高新,食品饮料,,食品饮料
600873,梅花生物,化学制品,,化工
600874,创业环保,环境治理,,环境治理
600875,东方电气,综合电力设备商,,电力
600876,凯盛新能,建筑材料,,建筑材料
600877,电科芯片,半导体,,半导体
600879,航天电子,航天装备Ⅱ,,军工
600880,博瑞传播,教育,,教育
600881,亚泰集团,综合,,综合
600882,妙可蓝多,乳品,,乳品
600883,博闻科技,农林牧渔,,农林牧渔
600884,杉杉股份,电池化学品,,锂电池；化工
600885,宏发股份,电网自动化设备,,机器人；电力
600886,国投电力,公用事业,,电力
600887,伊利股份,乳品,,乳品
600888,新疆众和,铝,,有色金属
600893,航发动力,国防军工,,军工
600894,广日股份,楼宇设备,,楼宇设备
600895,张江高科,产业地产,,产业地产
600897,厦门空港,航空机场,,军工
600900,长江电力,公用事业,,电力
600901,江苏金租,租赁,,租赁
600903,贵州燃气,燃气Ⅲ,,燃气Ⅲ
600905,三峡能源,公用事业,,公用事业
600906,财达证券,非银金融,,非银金融
600908,无锡银行,银行Ⅱ,,有色金属
600909,华安证券,非银金融,,非银金融
600916,中国黄金,钟表珠宝,,黄金
600917,重庆燃气,燃气Ⅲ,,燃气Ⅲ
600918,中泰证券,非银金融,,非银金融
600919,江苏银行,城商行Ⅲ,,城商行Ⅲ
600925,苏能股份,煤炭开采,,煤炭开采
600926,杭州银行,城商行Ⅲ,,城商行Ⅲ
600927,永安期货,期货,,期货
600928,西安银行,城商行Ⅲ,,城商行Ⅲ
600929,雪天盐业,无机盐,,无机盐
600930,华电新能,公用事业,,公用事业
600933,爱柯迪,汽车,,汽车
600935,华塑股份,化学原料,,化工
600936,北投科技,IT服务Ⅲ,,IT服务Ⅲ
600938,中国海油,油气开采Ⅱ,,油气开采Ⅱ
600939,重庆建工,房屋建设Ⅱ,,房屋建设Ⅱ
600941,中国移动,通信服务,,通信
600955,维远股份,其他化学原料,,化工
600956,新天绿能,公用事业,,公用事业
600958,东方证券,非银金融,,非银金融
600959,江苏有线,电视广播Ⅲ,,电视广播Ⅲ
