验证日期,股票代码,股票名称,固定持仓,置顶原因,行情刷新状态,数据状态,分时结构标签,尾盘抢筹标签,隔夜建议等级,候选评分,尾盘评分,最终评分,买入参考价,计划低吸下限,计划低吸上限,计划验证买入价,计划止损价,次日日期,次日开盘,次日最高,次日最低,次日收盘,次日开盘涨幅,次日最高涨幅,次日最低涨幅,次日收盘涨幅,是否达到1%,是否达到2%,是否触发-2%止损,是否触达低吸区间,触达后是否达到1%,触达后是否达到2%,触达后是否触发-2%止损,执行验证结果,分时确认状态,分时首事件,分时首事件时间,时序判断,是否验证成功
2026-07-24,000831,中国稀土,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,47.6,46.65,47.12,47.12,46.18,2026-07-23,48.88,50.29,48.65,49.78,2.69,5.65,2.21,4.58,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,688336,三生国健,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,42.7,41.85,42.27,42.27,41.43,2026-07-23,43.25,45.66,43.01,44.58,1.29,6.93,0.73,4.4,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,603127,昭衍新药,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,45.26,44.35,44.81,44.81,43.91,2026-07-23,47.82,51.35,47.82,48.49,5.66,13.46,5.66,7.14,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,000960,锡业股份,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,30.89,30.27,30.58,30.58,29.97,2026-07-23,32.15,33.24,31.62,32.83,4.08,7.61,2.36,6.28,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,300657,弘信电子,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,31.8,31.16,31.48,31.48,30.85,2026-07-23,33.61,34.81,32.88,33.22,5.69,9.47,3.4,4.47,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,002138,顺络电子,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,42.11,41.27,41.69,41.69,40.86,2026-07-23,43.78,45.97,43.02,43.44,3.97,9.17,2.16,3.16,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,002536,飞龙股份,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,48.19,47.23,47.71,47.71,46.75,2026-07-24,49.5,52.0,47.5,48.19,2.72,7.91,-1.43,0.0,是,是,否,是,是,是,否,给买点且成功,分时已确认,hit_1pct,2026-07-24 10:35,先触达买点 2026-07-24 10:33，首事件 2026-07-24 10:35 为止盈。,是
2026-07-24,601126,四方股份,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,41.72,40.89,41.3,41.3,40.48,2026-07-23,42.5,45.05,42.5,44.77,1.87,7.98,1.87,7.31,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,002990,盛视科技,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,46.76,45.82,46.29,46.29,45.37,2026-07-23,49.0,51.11,48.1,49.63,4.79,9.3,2.87,6.14,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,600536,中国软件,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,100.0,0.0,40.0,30.56,29.95,30.25,30.25,29.65,2026-07-23,34.2,34.77,33.68,33.95,11.91,13.78,10.21,11.09,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,300433,蓝思科技,否,,日线已刷新,ready,急跌修复失败型,尾盘普通,D,100.0,5.0,43.0,37.32,36.57,36.95,36.95,36.21,2026-07-23,37.27,38.48,36.03,36.58,-0.13,3.11,-3.46,-1.98,是,是,是,是,否,否,是,风险触发,分时已确认,stop_loss,2026-07-23 13:54,先触达买点 2026-07-23 13:37，首事件 2026-07-23 13:54 为止损。,否
2026-07-24,300316,晶盛机电,否,,日线已刷新,ready,普通震荡型,尾盘普通,C,100.0,20.0,52.0,39.01,38.23,38.62,38.62,37.85,2026-07-23,39.89,39.95,38.55,39.12,2.26,2.41,-1.18,0.28,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
2026-07-24,688106,金宏气体,否,,日线已刷新,ready,高波动震荡型,尾盘普通,C,100.0,35.0,61.0,30.1,29.5,29.8,29.8,29.2,2026-07-24,29.0,31.32,28.82,30.1,-3.65,4.05,-4.25,0.0,是,是,是,是,是,是,否,给买点且成功,分时已确认,hit_1pct,2026-07-24 09:36,先触达买点 2026-07-24 09:33，首事件 2026-07-24 09:36 为止盈。,是
2026-07-24,000811,冰轮环境,否,,日线已刷新,ready,急跌修复成功型,尾盘抢筹,A,98.0,100.0,99.2,43.25,42.38,42.82,42.82,41.96,2026-07-23,43.19,47.26,41.3,42.85,-0.14,9.27,-4.51,-0.92,是,是,是,是,是,是,否,给买点且成功,分时已确认,hit_1pct,2026-07-23 13:38,先触达买点 2026-07-23 13:37，首事件 2026-07-23 13:38 为止盈。,是
2026-07-24,000628,高新发展,否,,日线已刷新,ready,急跌修复失败型,尾盘无承接,D,90.0,0.0,36.0,35.76,35.04,35.4,35.4,34.69,2026-07-23,36.44,37.6,36.08,36.4,1.9,5.15,0.89,1.79,是,是,否,否,否,否,否,未给买点,分时已确认,no_touch,,分钟线未触达计划低吸区间。,否
